selected_count,valid_count,precision,avg_return,avg_net_return,median_return,hit_count,fallback_count,days_with_signals,threshold_up,threshold_down,threshold_risk,weight_up,weight_down,weight_risk,coverage_rate,total_days,fallback_min_passed_ratio,weighted_score
127,126,0.21428571428571427,0.0006973410526342316,-0.0013026589473657693,-0.0005345388990594668,27,120,120,0.2,0.48,0.4,1.0,0.5,0.4,1.0,120,0.4,0.22818063088721885
127,126,0.21428571428571427,0.0006973410526342316,-0.0013026589473657693,-0.0005345388990594668,27,120,120,0.2,0.48,0.45,1.0,0.5,0.4,1.0,120,0.4,0.22818063088721885
156,155,0.2129032258064516,0.0004003145645685942,-0.0015996854354314064,-0.0004555808656035998,33,116,120,0.18,0.48,0.45,1.0,0.5,0.4,1.0,120,0.4,0.22726202985324157
128,127,0.2125984251968504,0.0008529493294563586,-0.0011470506705436425,-0.0006134969325153339,27,120,120,0.2,0.5,0.35,1.0,0.5,0.4,1.0,120,0.4,0.2272149399169472
134,133,0.21052631578947367,0.000837104406595239,-0.0011628955934047615,0.0,28,120,120,0.19,0.48,0.4,1.0,0.5,0.4,1.0,120,0.4,0.22596692079566283
134,133,0.21052631578947367,0.000837104406595239,-0.0011628955934047615,0.0,28,120,120,0.19,0.48,0.45,1.0,0.5,0.4,1.0,120,0.4,0.22596692079566283
160,158,0.2088607594936709,0.0019987523533244256,-1.2476466755751855e-06,0.0,33,113,120,0.18,0.5,0.35,1.0,0.5,0.4,1.0,120,0.4,0.22531608140219989
214,212,0.20754716981132076,0.0019584015664030814,-4.15984335969199e-05,0.00044883990443544963,44,82,120,0.17,0.5,0.4,1.0,0.5,0.4,1.0,120,0.4,0.2245158223567134
126,125,0.208,0.0004669025714671058,-0.0015330974285328951,-0.0006134969325153339,26,120,120,0.2,0.48,0.35,1.0,0.5,0.4,1.0,120,0.4,0.22434007077144016
155,154,0.2077922077922078,5.833635505987626e-05,-0.001941663644940125,-0.0005345388990594668,32,116,120,0.18,0.48,0.4,1.0,0.5,0.4,1.0,120,0.4,0.22409282558184268
214,212,0.20754716981132076,0.0003232346873069198,-0.0016767653126930813,0.0,44,60,120,0.16,0.48,0.45,1.0,0.5,0.4,1.0,120,0.4,0.22402527229298458
215,213,0.20657276995305165,0.0014572659455940053,-0.0005427340544059959,0.00044189129474148103,44,76,120,0.17,0.5,0.45,1.0,0.5,0.4,1.0,120,0.4,0.22378084175550922
221,219,0.2054794520547945,0.0011950444762807784,-0.0008049555237192227,0.0004370629370629153,45,72,120,0.17,0.52,0.45,1.0,0.5,0.4,1.0,120,0.4,0.22304618457576098
139,137,0.20437956204379562,0.0010002993031992533,-0.0009997006968007472,0.0,28,120,120,0.19,0.5,0.35,1.0,0.5,0.4,1.0,120,0.4,0.2223278270172372
213,211,0.2037914691943128,0.0009367863841145354,-0.0010632136158854656,0.00032679738562091387,43,65,120,0.16,0.48,0.35,1.0,0.5,0.4,1.0,120,0.4,0.22195591743182208
238,236,0.2033898305084746,0.0012636717401022267,-0.0007363282598977742,0.0004442596268258159,48,22,120,0.16,0.52,0.45,1.0,0.5,0.4,1.0,120,0.4,0.22181299982711547
238,236,0.2033898305084746,0.0011462345123671724,-0.0008537654876328286,0.0004394771159021982,48,23,120,0.16,0.52,0.4,1.0,0.5,0.4,1.0,120,0.4,0.22177776865879495
