scenario,threshold_up,threshold_down,threshold_risk,fallback_max,fallback_min_passed_all,fallback_min_passed_ratio,selected_total,coverage,precision,avg_return
up0.18_down0.50_risk0.35_fbNone_min2_ratio0.5,0.18,0.5,0.35,,2.0,0.5,47,0.3333333333333333,0.30434782608695654,0.006609942166281611
up0.18_down0.50_risk0.35_fbNone_min3_ratioNone,0.18,0.5,0.35,,3.0,,47,0.3333333333333333,0.30434782608695654,0.006609942166281611
up0.18_down0.50_risk0.35_fbNone_min3_ratio0.4,0.18,0.5,0.35,,3.0,0.4,47,0.3333333333333333,0.30434782608695654,0.006609942166281611
up0.18_down0.50_risk0.35_fbNone_min3_ratio0.45,0.18,0.5,0.35,,3.0,0.45,47,0.3333333333333333,0.30434782608695654,0.006609942166281611
up0.18_down0.50_risk0.35_fbNone_min3_ratio0.5,0.18,0.5,0.35,,3.0,0.5,47,0.3333333333333333,0.30434782608695654,0.006609942166281611
up0.18_down0.50_risk0.35_fb1_minNone_ratioNone,0.18,0.5,0.35,1.0,,,160,1.0,0.2088607594936709,0.0019987523533244256
up0.18_down0.50_risk0.35_fb1_minNone_ratio0.4,0.18,0.5,0.35,1.0,,0.4,160,1.0,0.2088607594936709,0.0019987523533244256
up0.18_down0.50_risk0.35_fb1_minNone_ratio0.45,0.18,0.5,0.35,1.0,,0.45,160,1.0,0.2088607594936709,0.0019987523533244256
up0.18_down0.50_risk0.35_fb1_minNone_ratio0.5,0.18,0.5,0.35,1.0,,0.5,160,1.0,0.2088607594936709,0.0019987523533244256
up0.18_down0.50_risk0.35_fb1_min2_ratioNone,0.18,0.5,0.35,1.0,2.0,,160,1.0,0.2088607594936709,0.0019987523533244256
up0.18_down0.50_risk0.35_fb1_min2_ratio0.4,0.18,0.5,0.35,1.0,2.0,0.4,160,1.0,0.2088607594936709,0.0019987523533244256
up0.18_down0.50_risk0.35_fb1_min2_ratio0.45,0.18,0.5,0.35,1.0,2.0,0.45,160,1.0,0.2088607594936709,0.0019987523533244256
up0.18_down0.50_risk0.35_fb1_min2_ratio0.5,0.18,0.5,0.35,1.0,2.0,0.5,160,1.0,0.2088607594936709,0.0019987523533244256
up0.18_down0.50_risk0.35_fb1_min3_ratioNone,0.18,0.5,0.35,1.0,3.0,,160,1.0,0.2088607594936709,0.0019987523533244256
up0.18_down0.50_risk0.35_fb1_min3_ratio0.4,0.18,0.5,0.35,1.0,3.0,0.4,160,1.0,0.2088607594936709,0.0019987523533244256
up0.18_down0.50_risk0.35_fb1_min3_ratio0.45,0.18,0.5,0.35,1.0,3.0,0.45,160,1.0,0.2088607594936709,0.0019987523533244256
up0.18_down0.50_risk0.35_fb1_min3_ratio0.5,0.18,0.5,0.35,1.0,3.0,0.5,160,1.0,0.2088607594936709,0.0019987523533244256
up0.18_down0.50_risk0.40_fbNone_minNone_ratioNone,0.18,0.5,0.4,,,,61,0.4083333333333333,0.35,0.003307711830129604
up0.18_down0.50_risk0.40_fbNone_minNone_ratio0.4,0.18,0.5,0.4,,,0.4,61,0.4083333333333333,0.35,0.003307711830129604
up0.18_down0.50_risk0.40_fbNone_minNone_ratio0.45,0.18,0.5,0.4,,,0.45,61,0.4083333333333333,0.35,0.003307711830129604
up0.18_down0.50_risk0.40_fbNone_minNone_ratio0.5,0.18,0.5,0.4,,,0.5,61,0.4083333333333333,0.35,0.003307711830129604
up0.18_down0.50_risk0.40_fbNone_min2_ratioNone,0.18,0.5,0.4,,2.0,,61,0.4083333333333333,0.35,0.003307711830129604
up0.18_down0.50_risk0.40_fbNone_min2_ratio0.4,0.18,0.5,0.4,,2.0,0.4,61,0.4083333333333333,0.35,0.003307711830129604
up0.18_down0.50_risk0.40_fbNone_min2_ratio0.45,0.18,0.5,0.4,,2.0,0.45,61,0.4083333333333333,0.35,0.003307711830129604
up0.18_down0.50_risk0.40_fbNone_min2_ratio0.5,0.18,0.5,0.4,,2.0,0.5,61,0.4083333333333333,0.35,0.003307711830129604
up0.18_down0.50_risk0.40_fbNone_min3_ratioNone,0.18,0.5,0.4,,3.0,,61,0.4083333333333333,0.35,0.003307711830129604
