scenario,threshold_up,threshold_down,threshold_risk,fallback_max,fallback_min_passed_all,fallback_min_passed_ratio,selected_total,coverage,precision,avg_return
up0.19_down0.50_risk0.45_fb1_min3_ratio0.4,0.19,0.5,0.45,1.0,3.0,0.4,145,1.0,0.22377622377622378,0.00085274033896512
up0.19_down0.50_risk0.45_fb1_min3_ratio0.45,0.19,0.5,0.45,1.0,3.0,0.45,145,1.0,0.22377622377622378,0.00085274033896512
up0.19_down0.50_risk0.45_fb1_min3_ratio0.5,0.19,0.5,0.45,1.0,3.0,0.5,145,1.0,0.22377622377622378,0.00085274033896512
up0.19_down0.52_risk0.35_fbNone_minNone_ratioNone,0.19,0.52,0.35,,,,24,0.18333333333333332,0.43478260869565216,0.00813565313265822
up0.19_down0.52_risk0.35_fbNone_minNone_ratio0.4,0.19,0.52,0.35,,,0.4,24,0.18333333333333332,0.43478260869565216,0.00813565313265822
up0.19_down0.52_risk0.35_fbNone_minNone_ratio0.45,0.19,0.52,0.35,,,0.45,24,0.18333333333333332,0.43478260869565216,0.00813565313265822
up0.19_down0.52_risk0.35_fbNone_minNone_ratio0.5,0.19,0.52,0.35,,,0.5,24,0.18333333333333332,0.43478260869565216,0.00813565313265822
up0.19_down0.52_risk0.35_fbNone_min2_ratioNone,0.19,0.52,0.35,,2.0,,24,0.18333333333333332,0.43478260869565216,0.00813565313265822
up0.19_down0.52_risk0.35_fbNone_min2_ratio0.4,0.19,0.52,0.35,,2.0,0.4,24,0.18333333333333332,0.43478260869565216,0.00813565313265822
up0.19_down0.52_risk0.35_fbNone_min2_ratio0.45,0.19,0.52,0.35,,2.0,0.45,24,0.18333333333333332,0.43478260869565216,0.00813565313265822
up0.19_down0.52_risk0.35_fbNone_min2_ratio0.5,0.19,0.52,0.35,,2.0,0.5,24,0.18333333333333332,0.43478260869565216,0.00813565313265822
up0.19_down0.52_risk0.35_fbNone_min3_ratioNone,0.19,0.52,0.35,,3.0,,24,0.18333333333333332,0.43478260869565216,0.00813565313265822
up0.19_down0.52_risk0.35_fbNone_min3_ratio0.4,0.19,0.52,0.35,,3.0,0.4,24,0.18333333333333332,0.43478260869565216,0.00813565313265822
up0.19_down0.52_risk0.35_fbNone_min3_ratio0.45,0.19,0.52,0.35,,3.0,0.45,24,0.18333333333333332,0.43478260869565216,0.00813565313265822
up0.19_down0.52_risk0.35_fbNone_min3_ratio0.5,0.19,0.52,0.35,,3.0,0.5,24,0.18333333333333332,0.43478260869565216,0.00813565313265822
up0.19_down0.52_risk0.35_fb1_minNone_ratioNone,0.19,0.52,0.35,1.0,,,142,1.0,0.22142857142857142,0.001441353368162996
up0.19_down0.52_risk0.35_fb1_minNone_ratio0.4,0.19,0.52,0.35,1.0,,0.4,142,1.0,0.22142857142857142,0.001441353368162996
up0.19_down0.52_risk0.35_fb1_minNone_ratio0.45,0.19,0.52,0.35,1.0,,0.45,142,1.0,0.22142857142857142,0.001441353368162996
up0.19_down0.52_risk0.35_fb1_minNone_ratio0.5,0.19,0.52,0.35,1.0,,0.5,142,1.0,0.22142857142857142,0.001441353368162996
up0.19_down0.52_risk0.35_fb1_min2_ratioNone,0.19,0.52,0.35,1.0,2.0,,142,1.0,0.22142857142857142,0.001441353368162996
up0.19_down0.52_risk0.35_fb1_min2_ratio0.4,0.19,0.52,0.35,1.0,2.0,0.4,142,1.0,0.22142857142857142,0.001441353368162996
up0.19_down0.52_risk0.35_fb1_min2_ratio0.45,0.19,0.52,0.35,1.0,2.0,0.45,142,1.0,0.22142857142857142,0.001441353368162996
up0.19_down0.52_risk0.35_fb1_min2_ratio0.5,0.19,0.52,0.35,1.0,2.0,0.5,142,1.0,0.22142857142857142,0.001441353368162996
up0.19_down0.52_risk0.35_fb1_min3_ratioNone,0.19,0.52,0.35,1.0,3.0,,142,1.0,0.22142857142857142,0.001441353368162996
up0.19_down0.52_risk0.35_fb1_min3_ratio0.4,0.19,0.52,0.35,1.0,3.0,0.4,142,1.0,0.22142857142857142,0.001441353368162996
up0.19_down0.52_risk0.35_fb1_min3_ratio0.45,0.19,0.52,0.35,1.0,3.0,0.45,142,1.0,0.22142857142857142,0.001441353368162996
up0.19_down0.52_risk0.35_fb1_min3_ratio0.5,0.19,0.52,0.35,1.0,3.0,0.5,142,1.0,0.22142857142857142,0.001441353368162996
up0.19_down0.52_risk0.40_fbNone_minNone_ratioNone,0.19,0.52,0.4,,,,28,0.21666666666666667,0.4444444444444444,0.005143167095450461
up0.19_down0.52_risk0.40_fbNone_minNone_ratio0.4,0.19,0.52,0.4,,,0.4,28,0.21666666666666667,0.4444444444444444,0.005143167095450461
up0.19_down0.52_risk0.40_fbNone_minNone_ratio0.45,0.19,0.52,0.4,,,0.45,28,0.21666666666666667,0.4444444444444444,0.005143167095450461
up0.19_down0.52_risk0.40_fbNone_minNone_ratio0.5,0.19,0.52,0.4,,,0.5,28,0.21666666666666667,0.4444444444444444,0.005143167095450461
up0.19_down0.52_risk0.40_fbNone_min2_ratioNone,0.19,0.52,0.4,,2.0,,28,0.21666666666666667,0.4444444444444444,0.005143167095450461
up0.19_down0.52_risk0.40_fbNone_min2_ratio0.4,0.19,0.52,0.4,,2.0,0.4,28,0.21666666666666667,0.4444444444444444,0.005143167095450461
up0.19_down0.52_risk0.40_fbNone_min2_ratio0.45,0.19,0.52,0.4,,2.0,0.45,28,0.21666666666666667,0.4444444444444444,0.005143167095450461
up0.19_down0.52_risk0.40_fbNone_min2_ratio0.5,0.19,0.52,0.4,,2.0,0.5,28,0.21666666666666667,0.4444444444444444,0.005143167095450461
up0.19_down0.52_risk0.40_fbNone_min3_ratioNone,0.19,0.52,0.4,,3.0,,28,0.21666666666666667,0.4444444444444444,0.005143167095450461
up0.19_down0.52_risk0.40_fbNone_min3_ratio0.4,0.19,0.52,0.4,,3.0,0.4,28,0.21666666666666667,0.4444444444444444,0.005143167095450461
up0.19_down0.52_risk0.40_fbNone_min3_ratio0.45,0.19,0.52,0.4,,3.0,0.45,28,0.21666666666666667,0.4444444444444444,0.005143167095450461
up0.19_down0.52_risk0.40_fbNone_min3_ratio0.5,0.19,0.52,0.4,,3.0,0.5,28,0.21666666666666667,0.4444444444444444,0.005143167095450461
up0.19_down0.52_risk0.40_fb1_minNone_ratioNone,0.19,0.52,0.4,1.0,,,146,1.0,0.22916666666666666,0.0010662150074225193
up0.19_down0.52_risk0.40_fb1_minNone_ratio0.4,0.19,0.52,0.4,1.0,,0.4,146,1.0,0.22916666666666666,0.0010662150074225193
up0.19_down0.52_risk0.40_fb1_minNone_ratio0.45,0.19,0.52,0.4,1.0,,0.45,146,1.0,0.22916666666666666,0.0010662150074225193
up0.19_down0.52_risk0.40_fb1_minNone_ratio0.5,0.19,0.52,0.4,1.0,,0.5,146,1.0,0.22916666666666666,0.0010662150074225193
up0.19_down0.52_risk0.40_fb1_min2_ratioNone,0.19,0.52,0.4,1.0,2.0,,146,1.0,0.22916666666666666,0.0010662150074225193
up0.19_down0.52_risk0.40_fb1_min2_ratio0.4,0.19,0.52,0.4,1.0,2.0,0.4,146,1.0,0.22916666666666666,0.0010662150074225193
up0.19_down0.52_risk0.40_fb1_min2_ratio0.45,0.19,0.52,0.4,1.0,2.0,0.45,146,1.0,0.22916666666666666,0.0010662150074225193
up0.19_down0.52_risk0.40_fb1_min2_ratio0.5,0.19,0.52,0.4,1.0,2.0,0.5,146,1.0,0.22916666666666666,0.0010662150074225193
up0.19_down0.52_risk0.40_fb1_min3_ratioNone,0.19,0.52,0.4,1.0,3.0,,146,1.0,0.22916666666666666,0.0010662150074225193
up0.19_down0.52_risk0.40_fb1_min3_ratio0.4,0.19,0.52,0.4,1.0,3.0,0.4,146,1.0,0.22916666666666666,0.0010662150074225193
up0.19_down0.52_risk0.40_fb1_min3_ratio0.45,0.19,0.52,0.4,1.0,3.0,0.45,146,1.0,0.22916666666666666,0.0010662150074225193
up0.19_down0.52_risk0.40_fb1_min3_ratio0.5,0.19,0.52,0.4,1.0,3.0,0.5,146,1.0,0.22916666666666666,0.0010662150074225193
up0.19_down0.52_risk0.45_fbNone_minNone_ratioNone,0.19,0.52,0.45,,,,32,0.25,0.45161290322580644,0.004773713502278434
up0.19_down0.52_risk0.45_fbNone_minNone_ratio0.4,0.19,0.52,0.45,,,0.4,32,0.25,0.45161290322580644,0.004773713502278434
up0.19_down0.52_risk0.45_fbNone_minNone_ratio0.45,0.19,0.52,0.45,,,0.45,32,0.25,0.45161290322580644,0.004773713502278434
up0.19_down0.52_risk0.45_fbNone_minNone_ratio0.5,0.19,0.52,0.45,,,0.5,32,0.25,0.45161290322580644,0.004773713502278434
up0.19_down0.52_risk0.45_fbNone_min2_ratioNone,0.19,0.52,0.45,,2.0,,32,0.25,0.45161290322580644,0.004773713502278434
up0.19_down0.52_risk0.45_fbNone_min2_ratio0.4,0.19,0.52,0.45,,2.0,0.4,32,0.25,0.45161290322580644,0.004773713502278434
up0.19_down0.52_risk0.45_fbNone_min2_ratio0.45,0.19,0.52,0.45,,2.0,0.45,32,0.25,0.45161290322580644,0.004773713502278434
up0.19_down0.52_risk0.45_fbNone_min2_ratio0.5,0.19,0.52,0.45,,2.0,0.5,32,0.25,0.45161290322580644,0.004773713502278434
up0.19_down0.52_risk0.45_fbNone_min3_ratioNone,0.19,0.52,0.45,,3.0,,32,0.25,0.45161290322580644,0.004773713502278434
up0.19_down0.52_risk0.45_fbNone_min3_ratio0.4,0.19,0.52,0.45,,3.0,0.4,32,0.25,0.45161290322580644,0.004773713502278434
up0.19_down0.52_risk0.45_fbNone_min3_ratio0.45,0.19,0.52,0.45,,3.0,0.45,32,0.25,0.45161290322580644,0.004773713502278434
up0.19_down0.52_risk0.45_fbNone_min3_ratio0.5,0.19,0.52,0.45,,3.0,0.5,32,0.25,0.45161290322580644,0.004773713502278434
up0.19_down0.52_risk0.45_fb1_minNone_ratioNone,0.19,0.52,0.45,1.0,,,150,1.0,0.23648648648648649,0.0010990173517723772
up0.19_down0.52_risk0.45_fb1_minNone_ratio0.4,0.19,0.52,0.45,1.0,,0.4,150,1.0,0.23648648648648649,0.0010990173517723772
up0.19_down0.52_risk0.45_fb1_minNone_ratio0.45,0.19,0.52,0.45,1.0,,0.45,150,1.0,0.23648648648648649,0.0010990173517723772
up0.19_down0.52_risk0.45_fb1_minNone_ratio0.5,0.19,0.52,0.45,1.0,,0.5,150,1.0,0.23648648648648649,0.0010990173517723772
up0.19_down0.52_risk0.45_fb1_min2_ratioNone,0.19,0.52,0.45,1.0,2.0,,150,1.0,0.23648648648648649,0.0010990173517723772
up0.19_down0.52_risk0.45_fb1_min2_ratio0.4,0.19,0.52,0.45,1.0,2.0,0.4,150,1.0,0.23648648648648649,0.0010990173517723772
up0.19_down0.52_risk0.45_fb1_min2_ratio0.45,0.19,0.52,0.45,1.0,2.0,0.45,150,1.0,0.23648648648648649,0.0010990173517723772
up0.19_down0.52_risk0.45_fb1_min2_ratio0.5,0.19,0.52,0.45,1.0,2.0,0.5,150,1.0,0.23648648648648649,0.0010990173517723772
up0.19_down0.52_risk0.45_fb1_min3_ratioNone,0.19,0.52,0.45,1.0,3.0,,150,1.0,0.23648648648648649,0.0010990173517723772
up0.19_down0.52_risk0.45_fb1_min3_ratio0.4,0.19,0.52,0.45,1.0,3.0,0.4,150,1.0,0.23648648648648649,0.0010990173517723772
up0.19_down0.52_risk0.45_fb1_min3_ratio0.45,0.19,0.52,0.45,1.0,3.0,0.45,150,1.0,0.23648648648648649,0.0010990173517723772
up0.19_down0.52_risk0.45_fb1_min3_ratio0.5,0.19,0.52,0.45,1.0,3.0,0.5,150,1.0,0.23648648648648649,0.0010990173517723772
up0.20_down0.48_risk0.35_fbNone_minNone_ratioNone,0.2,0.48,0.35,,,,6,0.05,0.0,-0.004433217126580476
up0.20_down0.48_risk0.35_fbNone_minNone_ratio0.4,0.2,0.48,0.35,,,0.4,6,0.05,0.0,-0.004433217126580476
up0.20_down0.48_risk0.35_fbNone_minNone_ratio0.45,0.2,0.48,0.35,,,0.45,6,0.05,0.0,-0.004433217126580476
up0.20_down0.48_risk0.35_fbNone_minNone_ratio0.5,0.2,0.48,0.35,,,0.5,6,0.05,0.0,-0.004433217126580476
up0.20_down0.48_risk0.35_fbNone_min2_ratioNone,0.2,0.48,0.35,,2.0,,6,0.05,0.0,-0.004433217126580476
up0.20_down0.48_risk0.35_fbNone_min2_ratio0.4,0.2,0.48,0.35,,2.0,0.4,6,0.05,0.0,-0.004433217126580476
up0.20_down0.48_risk0.35_fbNone_min2_ratio0.45,0.2,0.48,0.35,,2.0,0.45,6,0.05,0.0,-0.004433217126580476
up0.20_down0.48_risk0.35_fbNone_min2_ratio0.5,0.2,0.48,0.35,,2.0,0.5,6,0.05,0.0,-0.004433217126580476
up0.20_down0.48_risk0.35_fbNone_min3_ratioNone,0.2,0.48,0.35,,3.0,,6,0.05,0.0,-0.004433217126580476
up0.20_down0.48_risk0.35_fbNone_min3_ratio0.4,0.2,0.48,0.35,,3.0,0.4,6,0.05,0.0,-0.004433217126580476
up0.20_down0.48_risk0.35_fbNone_min3_ratio0.45,0.2,0.48,0.35,,3.0,0.45,6,0.05,0.0,-0.004433217126580476
up0.20_down0.48_risk0.35_fbNone_min3_ratio0.5,0.2,0.48,0.35,,3.0,0.5,6,0.05,0.0,-0.004433217126580476
up0.20_down0.48_risk0.35_fb1_minNone_ratioNone,0.2,0.48,0.35,1.0,,,126,1.0,0.208,0.0004669025714671058
up0.20_down0.48_risk0.35_fb1_minNone_ratio0.4,0.2,0.48,0.35,1.0,,0.4,126,1.0,0.208,0.0004669025714671058
up0.20_down0.48_risk0.35_fb1_minNone_ratio0.45,0.2,0.48,0.35,1.0,,0.45,126,1.0,0.208,0.0004669025714671058
up0.20_down0.48_risk0.35_fb1_minNone_ratio0.5,0.2,0.48,0.35,1.0,,0.5,126,1.0,0.208,0.0004669025714671058
up0.20_down0.48_risk0.35_fb1_min2_ratioNone,0.2,0.48,0.35,1.0,2.0,,126,1.0,0.208,0.0004669025714671058
up0.20_down0.48_risk0.35_fb1_min2_ratio0.4,0.2,0.48,0.35,1.0,2.0,0.4,126,1.0,0.208,0.0004669025714671058
up0.20_down0.48_risk0.35_fb1_min2_ratio0.45,0.2,0.48,0.35,1.0,2.0,0.45,126,1.0,0.208,0.0004669025714671058
up0.20_down0.48_risk0.35_fb1_min2_ratio0.5,0.2,0.48,0.35,1.0,2.0,0.5,126,1.0,0.208,0.0004669025714671058
up0.20_down0.48_risk0.35_fb1_min3_ratioNone,0.2,0.48,0.35,1.0,3.0,,126,1.0,0.208,0.0004669025714671058
up0.20_down0.48_risk0.35_fb1_min3_ratio0.4,0.2,0.48,0.35,1.0,3.0,0.4,126,1.0,0.208,0.0004669025714671058
up0.20_down0.48_risk0.35_fb1_min3_ratio0.45,0.2,0.48,0.35,1.0,3.0,0.45,126,1.0,0.208,0.0004669025714671058
up0.20_down0.48_risk0.35_fb1_min3_ratio0.5,0.2,0.48,0.35,1.0,3.0,0.5,126,1.0,0.208,0.0004669025714671058
up0.20_down0.48_risk0.40_fbNone_minNone_ratioNone,0.2,0.48,0.4,,,,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.40_fbNone_minNone_ratio0.4,0.2,0.48,0.4,,,0.4,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.40_fbNone_minNone_ratio0.45,0.2,0.48,0.4,,,0.45,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.40_fbNone_minNone_ratio0.5,0.2,0.48,0.4,,,0.5,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.40_fbNone_min2_ratioNone,0.2,0.48,0.4,,2.0,,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.40_fbNone_min2_ratio0.4,0.2,0.48,0.4,,2.0,0.4,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.40_fbNone_min2_ratio0.45,0.2,0.48,0.4,,2.0,0.45,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.40_fbNone_min2_ratio0.5,0.2,0.48,0.4,,2.0,0.5,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.40_fbNone_min3_ratioNone,0.2,0.48,0.4,,3.0,,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.40_fbNone_min3_ratio0.4,0.2,0.48,0.4,,3.0,0.4,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.40_fbNone_min3_ratio0.45,0.2,0.48,0.4,,3.0,0.45,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.40_fbNone_min3_ratio0.5,0.2,0.48,0.4,,3.0,0.5,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.40_fb1_minNone_ratioNone,0.2,0.48,0.4,1.0,,,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.40_fb1_minNone_ratio0.4,0.2,0.48,0.4,1.0,,0.4,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.40_fb1_minNone_ratio0.45,0.2,0.48,0.4,1.0,,0.45,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.40_fb1_minNone_ratio0.5,0.2,0.48,0.4,1.0,,0.5,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.40_fb1_min2_ratioNone,0.2,0.48,0.4,1.0,2.0,,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.40_fb1_min2_ratio0.4,0.2,0.48,0.4,1.0,2.0,0.4,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.40_fb1_min2_ratio0.45,0.2,0.48,0.4,1.0,2.0,0.45,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.40_fb1_min2_ratio0.5,0.2,0.48,0.4,1.0,2.0,0.5,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.40_fb1_min3_ratioNone,0.2,0.48,0.4,1.0,3.0,,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.40_fb1_min3_ratio0.4,0.2,0.48,0.4,1.0,3.0,0.4,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.40_fb1_min3_ratio0.45,0.2,0.48,0.4,1.0,3.0,0.45,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.40_fb1_min3_ratio0.5,0.2,0.48,0.4,1.0,3.0,0.5,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.45_fbNone_minNone_ratioNone,0.2,0.48,0.45,,,,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.45_fbNone_minNone_ratio0.4,0.2,0.48,0.45,,,0.4,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.45_fbNone_minNone_ratio0.45,0.2,0.48,0.45,,,0.45,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.45_fbNone_minNone_ratio0.5,0.2,0.48,0.45,,,0.5,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.45_fbNone_min2_ratioNone,0.2,0.48,0.45,,2.0,,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.45_fbNone_min2_ratio0.4,0.2,0.48,0.45,,2.0,0.4,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.45_fbNone_min2_ratio0.45,0.2,0.48,0.45,,2.0,0.45,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.45_fbNone_min2_ratio0.5,0.2,0.48,0.45,,2.0,0.5,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.45_fbNone_min3_ratioNone,0.2,0.48,0.45,,3.0,,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.45_fbNone_min3_ratio0.4,0.2,0.48,0.45,,3.0,0.4,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.45_fbNone_min3_ratio0.45,0.2,0.48,0.45,,3.0,0.45,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.45_fbNone_min3_ratio0.5,0.2,0.48,0.45,,3.0,0.5,7,0.058333333333333334,0.14285714285714285,0.00041469263414887055
up0.20_down0.48_risk0.45_fb1_minNone_ratioNone,0.2,0.48,0.45,1.0,,,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.45_fb1_minNone_ratio0.4,0.2,0.48,0.45,1.0,,0.4,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.45_fb1_minNone_ratio0.45,0.2,0.48,0.45,1.0,,0.45,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.45_fb1_minNone_ratio0.5,0.2,0.48,0.45,1.0,,0.5,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.45_fb1_min2_ratioNone,0.2,0.48,0.45,1.0,2.0,,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.45_fb1_min2_ratio0.4,0.2,0.48,0.45,1.0,2.0,0.4,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.45_fb1_min2_ratio0.45,0.2,0.48,0.45,1.0,2.0,0.45,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.45_fb1_min2_ratio0.5,0.2,0.48,0.45,1.0,2.0,0.5,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.45_fb1_min3_ratioNone,0.2,0.48,0.45,1.0,3.0,,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.45_fb1_min3_ratio0.4,0.2,0.48,0.45,1.0,3.0,0.4,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.45_fb1_min3_ratio0.45,0.2,0.48,0.45,1.0,3.0,0.45,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.48_risk0.45_fb1_min3_ratio0.5,0.2,0.48,0.45,1.0,3.0,0.5,127,1.0,0.21428571428571427,0.0006973410526342316
up0.20_down0.50_risk0.35_fbNone_minNone_ratioNone,0.2,0.5,0.35,,,,8,0.06666666666666667,0.25,0.00702769293679914
up0.20_down0.50_risk0.35_fbNone_minNone_ratio0.4,0.2,0.5,0.35,,,0.4,8,0.06666666666666667,0.25,0.00702769293679914
up0.20_down0.50_risk0.35_fbNone_minNone_ratio0.45,0.2,0.5,0.35,,,0.45,8,0.06666666666666667,0.25,0.00702769293679914
up0.20_down0.50_risk0.35_fbNone_minNone_ratio0.5,0.2,0.5,0.35,,,0.5,8,0.06666666666666667,0.25,0.00702769293679914
up0.20_down0.50_risk0.35_fbNone_min2_ratioNone,0.2,0.5,0.35,,2.0,,8,0.06666666666666667,0.25,0.00702769293679914
up0.20_down0.50_risk0.35_fbNone_min2_ratio0.4,0.2,0.5,0.35,,2.0,0.4,8,0.06666666666666667,0.25,0.00702769293679914
up0.20_down0.50_risk0.35_fbNone_min2_ratio0.45,0.2,0.5,0.35,,2.0,0.45,8,0.06666666666666667,0.25,0.00702769293679914
up0.20_down0.50_risk0.35_fbNone_min2_ratio0.5,0.2,0.5,0.35,,2.0,0.5,8,0.06666666666666667,0.25,0.00702769293679914
up0.20_down0.50_risk0.35_fbNone_min3_ratioNone,0.2,0.5,0.35,,3.0,,8,0.06666666666666667,0.25,0.00702769293679914
up0.20_down0.50_risk0.35_fbNone_min3_ratio0.4,0.2,0.5,0.35,,3.0,0.4,8,0.06666666666666667,0.25,0.00702769293679914
up0.20_down0.50_risk0.35_fbNone_min3_ratio0.45,0.2,0.5,0.35,,3.0,0.45,8,0.06666666666666667,0.25,0.00702769293679914
up0.20_down0.50_risk0.35_fbNone_min3_ratio0.5,0.2,0.5,0.35,,3.0,0.5,8,0.06666666666666667,0.25,0.00702769293679914
up0.20_down0.50_risk0.35_fb1_minNone_ratioNone,0.2,0.5,0.35,1.0,,,128,1.0,0.2125984251968504,0.0008529493294563586
up0.20_down0.50_risk0.35_fb1_minNone_ratio0.4,0.2,0.5,0.35,1.0,,0.4,128,1.0,0.2125984251968504,0.0008529493294563586
up0.20_down0.50_risk0.35_fb1_minNone_ratio0.45,0.2,0.5,0.35,1.0,,0.45,128,1.0,0.2125984251968504,0.0008529493294563586
up0.20_down0.50_risk0.35_fb1_minNone_ratio0.5,0.2,0.5,0.35,1.0,,0.5,128,1.0,0.2125984251968504,0.0008529493294563586
up0.20_down0.50_risk0.35_fb1_min2_ratioNone,0.2,0.5,0.35,1.0,2.0,,128,1.0,0.2125984251968504,0.0008529493294563586
up0.20_down0.50_risk0.35_fb1_min2_ratio0.4,0.2,0.5,0.35,1.0,2.0,0.4,128,1.0,0.2125984251968504,0.0008529493294563586
up0.20_down0.50_risk0.35_fb1_min2_ratio0.45,0.2,0.5,0.35,1.0,2.0,0.45,128,1.0,0.2125984251968504,0.0008529493294563586
up0.20_down0.50_risk0.35_fb1_min2_ratio0.5,0.2,0.5,0.35,1.0,2.0,0.5,128,1.0,0.2125984251968504,0.0008529493294563586
up0.20_down0.50_risk0.35_fb1_min3_ratioNone,0.2,0.5,0.35,1.0,3.0,,128,1.0,0.2125984251968504,0.0008529493294563586
up0.20_down0.50_risk0.35_fb1_min3_ratio0.4,0.2,0.5,0.35,1.0,3.0,0.4,128,1.0,0.2125984251968504,0.0008529493294563586
up0.20_down0.50_risk0.35_fb1_min3_ratio0.45,0.2,0.5,0.35,1.0,3.0,0.45,128,1.0,0.2125984251968504,0.0008529493294563586
up0.20_down0.50_risk0.35_fb1_min3_ratio0.5,0.2,0.5,0.35,1.0,3.0,0.5,128,1.0,0.2125984251968504,0.0008529493294563586
up0.20_down0.50_risk0.40_fbNone_minNone_ratioNone,0.2,0.5,0.4,,,,10,0.08333333333333333,0.4,0.010136721211410783
up0.20_down0.50_risk0.40_fbNone_minNone_ratio0.4,0.2,0.5,0.4,,,0.4,10,0.08333333333333333,0.4,0.010136721211410783
up0.20_down0.50_risk0.40_fbNone_minNone_ratio0.45,0.2,0.5,0.4,,,0.45,10,0.08333333333333333,0.4,0.010136721211410783
up0.20_down0.50_risk0.40_fbNone_minNone_ratio0.5,0.2,0.5,0.4,,,0.5,10,0.08333333333333333,0.4,0.010136721211410783
up0.20_down0.50_risk0.40_fbNone_min2_ratioNone,0.2,0.5,0.4,,2.0,,10,0.08333333333333333,0.4,0.010136721211410783
up0.20_down0.50_risk0.40_fbNone_min2_ratio0.4,0.2,0.5,0.4,,2.0,0.4,10,0.08333333333333333,0.4,0.010136721211410783
up0.20_down0.50_risk0.40_fbNone_min2_ratio0.45,0.2,0.5,0.4,,2.0,0.45,10,0.08333333333333333,0.4,0.010136721211410783
up0.20_down0.50_risk0.40_fbNone_min2_ratio0.5,0.2,0.5,0.4,,2.0,0.5,10,0.08333333333333333,0.4,0.010136721211410783
up0.20_down0.50_risk0.40_fbNone_min3_ratioNone,0.2,0.5,0.4,,3.0,,10,0.08333333333333333,0.4,0.010136721211410783
up0.20_down0.50_risk0.40_fbNone_min3_ratio0.4,0.2,0.5,0.4,,3.0,0.4,10,0.08333333333333333,0.4,0.010136721211410783
