selected_count,valid_count,precision,avg_return,avg_net_return,median_return,hit_count,fallback_count,days_with_signals,threshold_up,threshold_down,threshold_risk,weight_up,weight_down,weight_risk,coverage_rate,total_days,fallback_min_passed_ratio,weighted_score
130,129,0.2248062015503876,0.001189691732253273,-0.0008103082677467276,-0.0004555808656035998,29,120,120,0.2,0.5,0.4,1.0,0.5,0.4,1.0,120,0.55,0.3121600082948698
145,143,0.22377622377622378,0.00085274033896512,-0.0011472596610348806,0.0,32,120,120,0.19,0.5,0.45,1.0,0.5,0.4,1.0,120,0.45,0.3115439339898014
145,143,0.22377622377622378,0.00085274033896512,-0.0011472596610348806,0.0,32,120,120,0.19,0.5,0.45,1.0,0.5,0.4,1.0,120,0.5,0.3115439339898014
145,143,0.22377622377622378,0.00085274033896512,-0.0011472596610348806,0.0,32,120,120,0.19,0.5,0.45,1.0,0.5,0.4,1.0,120,0.55,0.3115439339898014
144,142,0.21830985915492956,0.0007354226160951464,-0.001264577383904854,0.0,31,120,120,0.19,0.5,0.4,1.0,0.5,0.4,1.0,120,0.45,0.30877555636229337
144,142,0.21830985915492956,0.0007354226160951464,-0.001264577383904854,0.0,31,120,120,0.19,0.5,0.4,1.0,0.5,0.4,1.0,120,0.5,0.30877555636229337
144,142,0.21830985915492956,0.0007354226160951464,-0.001264577383904854,0.0,31,120,120,0.19,0.5,0.4,1.0,0.5,0.4,1.0,120,0.55,0.30877555636229337
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.22,0.5,0.4,1.0,0.5,0.4,1.0,120,0.45,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.22,0.5,0.4,1.0,0.5,0.4,1.0,120,0.5,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.22,0.5,0.4,1.0,0.5,0.4,1.0,120,0.55,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.22,0.5,0.45,1.0,0.5,0.4,1.0,120,0.45,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.22,0.5,0.45,1.0,0.5,0.4,1.0,120,0.5,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.22,0.5,0.45,1.0,0.5,0.4,1.0,120,0.55,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.22,0.52,0.4,1.0,0.5,0.4,1.0,120,0.45,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.22,0.52,0.4,1.0,0.5,0.4,1.0,120,0.5,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.22,0.52,0.4,1.0,0.5,0.4,1.0,120,0.55,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.22,0.52,0.45,1.0,0.5,0.4,1.0,120,0.45,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.22,0.52,0.45,1.0,0.5,0.4,1.0,120,0.5,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.22,0.52,0.45,1.0,0.5,0.4,1.0,120,0.55,0.3045543714320141
121,120,0.20833333333333334,0.00024928077909245244,-0.0017507192209075483,-0.0006134969325153339,25,120,120,0.21,0.5,0.4,1.0,0.5,0.4,1.0,120,0.45,0.3036414509003944
