selected_count,valid_count,precision,avg_return,avg_net_return,median_return,hit_count,fallback_count,days_with_signals,threshold_up,threshold_down,threshold_risk,weight_up,weight_down,weight_risk,coverage_rate,total_days,fallback_min_passed_ratio,weighted_score
127,126,0.21428571428571427,0.0006973410526342316,-0.0013026589473657693,-0.0005345388990594668,27,120,120,0.2,0.48,0.45,1.0,0.5,0.4,1.0,120,0.45,0.3067520594586474
127,126,0.21428571428571427,0.0006973410526342316,-0.0013026589473657693,-0.0005345388990594668,27,120,120,0.2,0.48,0.45,1.0,0.5,0.4,1.0,120,0.5,0.3067520594586474
156,155,0.2129032258064516,0.0004003145645685942,-0.0015996854354314064,-0.0004555808656035998,33,116,120,0.18,0.48,0.45,1.0,0.5,0.4,1.0,120,0.4,0.30597170727259637
156,155,0.2129032258064516,0.0004003145645685942,-0.0015996854354314064,-0.0004555808656035998,33,116,120,0.18,0.48,0.45,1.0,0.5,0.4,1.0,120,0.45,0.30597170727259637
156,155,0.2129032258064516,0.0004003145645685942,-0.0015996854354314064,-0.0004555808656035998,33,116,120,0.18,0.48,0.45,1.0,0.5,0.4,1.0,120,0.5,0.30597170727259637
128,127,0.2125984251968504,0.0008529493294563586,-0.0011470506705436425,-0.0006134969325153339,27,120,120,0.2,0.5,0.35,1.0,0.5,0.4,1.0,120,0.4,0.3059550973972621
128,127,0.2125984251968504,0.0008529493294563586,-0.0011470506705436425,-0.0006134969325153339,27,120,120,0.2,0.5,0.35,1.0,0.5,0.4,1.0,120,0.45,0.3059550973972621
128,127,0.2125984251968504,0.0008529493294563586,-0.0011470506705436425,-0.0006134969325153339,27,120,120,0.2,0.5,0.35,1.0,0.5,0.4,1.0,120,0.5,0.3059550973972621
134,133,0.21052631578947367,0.000837104406595239,-0.0011628955934047615,0.0,28,120,120,0.19,0.48,0.4,1.0,0.5,0.4,1.0,120,0.4,0.30491428921671543
134,133,0.21052631578947367,0.000837104406595239,-0.0011628955934047615,0.0,28,120,120,0.19,0.48,0.4,1.0,0.5,0.4,1.0,120,0.45,0.30491428921671543
134,133,0.21052631578947367,0.000837104406595239,-0.0011628955934047615,0.0,28,120,120,0.19,0.48,0.4,1.0,0.5,0.4,1.0,120,0.5,0.30491428921671543
134,133,0.21052631578947367,0.000837104406595239,-0.0011628955934047615,0.0,28,120,120,0.19,0.48,0.45,1.0,0.5,0.4,1.0,120,0.4,0.30491428921671543
134,133,0.21052631578947367,0.000837104406595239,-0.0011628955934047615,0.0,28,120,120,0.19,0.48,0.45,1.0,0.5,0.4,1.0,120,0.45,0.30491428921671543
134,133,0.21052631578947367,0.000837104406595239,-0.0011628955934047615,0.0,28,120,120,0.19,0.48,0.45,1.0,0.5,0.4,1.0,120,0.5,0.30491428921671543
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.21,0.48,0.35,1.0,0.5,0.4,1.0,120,0.4,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.21,0.48,0.35,1.0,0.5,0.4,1.0,120,0.45,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.21,0.48,0.35,1.0,0.5,0.4,1.0,120,0.5,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.21,0.48,0.4,1.0,0.5,0.4,1.0,120,0.4,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.21,0.48,0.4,1.0,0.5,0.4,1.0,120,0.45,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.21,0.48,0.4,1.0,0.5,0.4,1.0,120,0.5,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.21,0.48,0.45,1.0,0.5,0.4,1.0,120,0.4,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.21,0.48,0.45,1.0,0.5,0.4,1.0,120,0.45,0.3045543714320141
120,119,0.21008403361344538,0.00037451541763789493,-0.001625484582362106,-0.0006134969325153339,25,120,120,0.21,0.48,0.45,1.0,0.5,0.4,1.0,120,0.5,0.3045543714320141
160,158,0.2088607594936709,0.0019987523533244256,-1.2476466755751855e-06,0.0,33,113,120,0.18,0.5,0.35,1.0,0.5,0.4,1.0,120,0.4,0.3044300054528328
160,158,0.2088607594936709,0.0019987523533244256,-1.2476466755751855e-06,0.0,33,113,120,0.18,0.5,0.35,1.0,0.5,0.4,1.0,120,0.45,0.3044300054528328
160,158,0.2088607594936709,0.0019987523533244256,-1.2476466755751855e-06,0.0,33,113,120,0.18,0.5,0.35,1.0,0.5,0.4,1.0,120,0.5,0.3044300054528328
121,120,0.20833333333333334,0.00024928077909245244,-0.0017507192209075483,-0.0006134969325153339,25,120,120,0.21,0.5,0.35,1.0,0.5,0.4,1.0,120,0.4,0.3036414509003944
121,120,0.20833333333333334,0.00024928077909245244,-0.0017507192209075483,-0.0006134969325153339,25,120,120,0.21,0.5,0.35,1.0,0.5,0.4,1.0,120,0.45,0.3036414509003944
121,120,0.20833333333333334,0.00024928077909245244,-0.0017507192209075483,-0.0006134969325153339,25,120,120,0.21,0.5,0.35,1.0,0.5,0.4,1.0,120,0.5,0.3036414509003944
121,120,0.20833333333333334,0.00024928077909245244,-0.0017507192209075483,-0.0006134969325153339,25,120,120,0.21,0.5,0.4,1.0,0.5,0.4,1.0,120,0.4,0.3036414509003944
121,120,0.20833333333333334,0.00024928077909245244,-0.0017507192209075483,-0.0006134969325153339,25,120,120,0.21,0.5,0.4,1.0,0.5,0.4,1.0,120,0.45,0.3036414509003944
121,120,0.20833333333333334,0.00024928077909245244,-0.0017507192209075483,-0.0006134969325153339,25,120,120,0.21,0.5,0.4,1.0,0.5,0.4,1.0,120,0.5,0.3036414509003944
121,120,0.20833333333333334,0.00024928077909245244,-0.0017507192209075483,-0.0006134969325153339,25,120,120,0.21,0.5,0.45,1.0,0.5,0.4,1.0,120,0.4,0.3036414509003944
121,120,0.20833333333333334,0.00024928077909245244,-0.0017507192209075483,-0.0006134969325153339,25,120,120,0.21,0.5,0.45,1.0,0.5,0.4,1.0,120,0.45,0.3036414509003944
121,120,0.20833333333333334,0.00024928077909245244,-0.0017507192209075483,-0.0006134969325153339,25,120,120,0.21,0.5,0.45,1.0,0.5,0.4,1.0,120,0.5,0.3036414509003944
121,120,0.20833333333333334,0.00024928077909245244,-0.0017507192209075483,-0.0006134969325153339,25,120,120,0.21,0.52,0.35,1.0,0.5,0.4,1.0,120,0.4,0.3036414509003944
