selected_count,valid_count,precision,avg_return,avg_net_return,median_return,hit_count,fallback_count,days_with_signals,threshold_up,threshold_down,threshold_risk,weight_up,weight_down,weight_risk,coverage_rate,total_days,fallback_min_passed_ratio,fallback_max_per_sector,weighted_score
20,19,0.21052631578947367,-0.00014303626141041076,-0.00014303626141041076,-0.003095975232198178,4,16,20,0.2,0.52,0.45,1.0,0.5,0.4,1.0,20,0.4,1,0.22627287859526113
20,19,0.21052631578947367,-0.0003808754499283225,-0.0003808754499283225,-0.003095975232198178,4,11,20,0.19,0.52,0.45,1.0,0.5,0.4,1.0,20,0.4,1,0.22620152683870576
20,19,0.21052631578947367,-0.0005078959365620042,-0.0005078959365620042,-0.003095975232198178,4,12,20,0.19,0.5,0.4,1.0,0.5,0.4,1.0,20,0.4,1,0.2261634206927156
20,19,0.21052631578947367,-0.0005078959365620042,-0.0005078959365620042,-0.003095975232198178,4,12,20,0.19,0.5,0.45,1.0,0.5,0.4,1.0,20,0.4,1,0.2261634206927156
20,19,0.21052631578947367,-0.0005078959365620042,-0.0005078959365620042,-0.003095975232198178,4,12,20,0.19,0.52,0.4,1.0,0.5,0.4,1.0,20,0.4,1,0.2261634206927156
20,19,0.15789473684210525,-0.0015624521722957456,-0.0015624521722957456,-0.003095975232198178,3,19,20,0.21,0.48,0.4,1.0,0.5,0.4,1.0,20,0.4,1,0.19426810645357445
20,19,0.15789473684210525,-0.0015624521722957456,-0.0015624521722957456,-0.003095975232198178,3,19,20,0.21,0.48,0.45,1.0,0.5,0.4,1.0,20,0.4,1,0.19426810645357445
20,19,0.15789473684210525,-0.0015624521722957456,-0.0015624521722957456,-0.003095975232198178,3,19,20,0.21,0.5,0.4,1.0,0.5,0.4,1.0,20,0.4,1,0.19426810645357445
20,19,0.15789473684210525,-0.0015624521722957456,-0.0015624521722957456,-0.003095975232198178,3,19,20,0.21,0.5,0.45,1.0,0.5,0.4,1.0,20,0.4,1,0.19426810645357445
20,19,0.15789473684210525,-0.0015624521722957456,-0.0015624521722957456,-0.003095975232198178,3,19,20,0.21,0.52,0.4,1.0,0.5,0.4,1.0,20,0.4,1,0.19426810645357445
20,19,0.15789473684210525,-0.0015624521722957456,-0.0015624521722957456,-0.003095975232198178,3,19,20,0.21,0.52,0.45,1.0,0.5,0.4,1.0,20,0.4,1,0.19426810645357445
20,19,0.15789473684210525,-0.0015624521722957456,-0.0015624521722957456,-0.003095975232198178,3,19,20,0.22,0.48,0.4,1.0,0.5,0.4,1.0,20,0.4,1,0.19426810645357445
20,19,0.15789473684210525,-0.0015624521722957456,-0.0015624521722957456,-0.003095975232198178,3,19,20,0.22,0.48,0.45,1.0,0.5,0.4,1.0,20,0.4,1,0.19426810645357445
20,19,0.15789473684210525,-0.0015624521722957456,-0.0015624521722957456,-0.003095975232198178,3,19,20,0.22,0.5,0.4,1.0,0.5,0.4,1.0,20,0.4,1,0.19426810645357445
20,19,0.15789473684210525,-0.0015624521722957456,-0.0015624521722957456,-0.003095975232198178,3,19,20,0.22,0.5,0.45,1.0,0.5,0.4,1.0,20,0.4,1,0.19426810645357445
20,19,0.15789473684210525,-0.0015624521722957456,-0.0015624521722957456,-0.003095975232198178,3,19,20,0.22,0.52,0.4,1.0,0.5,0.4,1.0,20,0.4,1,0.19426810645357445
20,19,0.15789473684210525,-0.0015624521722957456,-0.0015624521722957456,-0.003095975232198178,3,19,20,0.22,0.52,0.45,1.0,0.5,0.4,1.0,20,0.4,1,0.19426810645357445
